codegeo,Libelle_departement,2017,2018,2019,2020,2021,2022,votants2017,voix_vainqueur2017,nom_vainqueur2017,prenom_vainqueur2017,parti_politique_vainq2017,positionnement_politique_vainq2017,votants2022,voix_vainqueur2022,nom_vainqueur2022,prenom_vainqueur2022,parti_politique_vainq2022,positionnement_politique_vainq2022,Hommes_0-19,Hommes_20-39,Hommes_40-59,Hommes_60-74,Hommes_75plus,Femmes_0-19,Femmes_20-39,Femmes_40-59,Femmes_60-74,Femmes_75plus,Population_Total,emploi_2007,emploi_2008,emploi_2009,emploi_2010,emploi_2011,emploi_2012,emploi_2013,emploi_2014,emploi_2015,emploi_2016,emploi_2017,emploi_2018,emploi_2019,emploi_2020,emploi_2021,emploi_2022
1,ain,27,25.3,24.3,24.3,23.8,21.9,334379,81455,LE PEN,Marine,Rassemblement National,extreme droite,340568,92206,MACRON,Emmanuel,Renaissance,Centre,86204,74501,89221,47295,20071,81232,74666,89274,50301,30585,643350,216825,213143,208363,212773,214720,214857,217936,218210,219592,221091,224590,222927,222927,222927,222927,222927
2,aisne,51.9,49.6,46.6,43.9,44,41.7,295569,102770,LE PEN,Marine,Rassemblement National,extreme droite,272455,104342,LE PEN,Marine,Rassemblement National,Extreme droite,69558,58885,70174,44183,17869,65680,58576,71253,47498,30814,534490,188661,185720,181855,180835,178953,176769,176564,175784,175288,174490,174083,174504,174504,174504,174504,174504
2A,corse-du-sud,38.8,37.5,33.8,31.9,27.8,25.8,75023,20858,LE PEN,Marine,Rassemblement National,extreme droite,71552,20139,LE PEN,Marine,Rassemblement National,Extreme droite,16299,16659,21719,14116,7359,14872,18183,22606,15121,10315,157249,282649.0213,281029.2979,278619.9681,280161.383,281552.8511,281805.1702,283690.5213,283631,284656.734,286718.1702,290329.9149,288489.266,288489.266,288489.266,288489.266,288489.266
2B,haute-corse,36.4,33.1,30.6,30.8,26.1,23.3,83968,22183,LE PEN,Marine,Rassemblement National,extreme droite,80851,21998,LE PEN,Marine,Rassemblement National,Extreme droite,19059,20385,23688,15840,7812,17630,20937,24391,16819,11128,177689,282649.0213,281029.2979,278619.9681,280161.383,281552.8511,281805.1702,283690.5213,283631,284656.734,286718.1702,290329.9149,288489.266,288489.266,288489.266,288489.266,288489.266
3,allier,38.8,37.5,35.5,34,32.6,30.6,199233,45651,MACRON,Emmanuel,Renaissance,centre,191494,50315,LE PEN,Marine,Rassemblement National,Extreme droite,35659,32269,44090,32621,17216,33944,31519,45656,36906,28108,337988,134145,131344,129553,129819,128200,127485,128006,126787,125926,125767,125095,125433,125433,125433,125433,125433
4,alpes-de-haute-provence,42.8,41.7,39,36.4,35.4,33.1,102255,24463,LE PEN,Marine,Rassemblement National,extreme droite,98785,26010,LE PEN,Marine,Rassemblement National,Extreme droite,18320,15563,21628,16313,8013,16689,15609,22927,17171,11682,163915,58488,58139,59258,59815,59733,59934,60585,60666,60803,62812,61625,61358,61358,61358,61358,61358
5,hautes-alpes,34.7,33.9,31.9,30.8,32.1,27.6,89086,18948,MACRON,Emmanuel,Renaissance,centre,88162,20507,MACRON,Emmanuel,Renaissance,Centre,15960,14272,19172,13254,6445,15027,14028,19691,13913,9522,141284,60167,60860,59809,60291,60122,60240,60639,60333,59819,59963,61037,60703,60703,60703,60703,60703
6,alpes-maritimes,39.3,37.4,35,35.2,34.1,29.4,599858,163141,LE PEN,Marine,Rassemblement National,extreme droite,570332,148919,LE PEN,Marine,Rassemblement National,Extreme droite,117831,117170,137832,88396,51149,112703,122320,148650,105272,81987,1083310,458894,458596,453381,455135,457941,457759,460496,458034,461408,464941,468840,466290,466290,466290,466290,466290
7,ardeche,40.3,39.1,36.5,34.8,34.5,32.3,202640,45305,LE PEN,Marine,Rassemblement National,extreme droite,201745,49594,LE PEN,Marine,Rassemblement National,Extreme droite,37107,31005,44731,31248,14730,35212,31205,44918,32870,22686,325712,105542,104084,103700,104954,105398,105168,106095,106511,106917,107597,108439,107930,107930,107930,107930,107930
8,ardennes,44.2,41.7,40,38.4,38,37.5,150303,47578,LE PEN,Marine,Rassemblement National,extreme droite,136829,48242,LE PEN,Marine,Rassemblement National,Extreme droite,33469,29340,37138,23454,9978,31493,29143,37589,25221,16754,273579,100875,98919,97481,98455,97291,95285,95440,94824,93875,93118,93695,93832,93832,93832,93832,93832
